kat,czas_netto
M,08:32:43
M,09:12:15
M,09:33:54
K/M,10:11:02
M,10:20:53
M,10:24:27
K/M,10:25:42
K/M,10:28:53
M,10:34:45
M,10:35:53
M,10:39:31
M,11:01:55
M,11:11:26
M,11:14:07
M,11:18:03
M,11:19:05
K/M,11:19:53
M,11:24:58
M,11:26:03
M,11:27:28
SZTAFETA,11:27:56
M,11:31:15
M,11:32:06
M,11:38:23
M,11:40:08
M,11:57:17
M,11:58:23
K/M,12:00:31
K/M,12:03:46
M,12:05:09
M,12:06:44
M,12:08:14
K/M,12:12:11
M,12:12:23
M,12:14:05
K/M,12:14:30
M,12:15:13
M,12:15:47
M,12:23:28
M,12:24:39
M,12:25:41
M,12:26:51
M,12:30:42
M,12:34:27
K/M,12:37:50
K/M,12:43:31
M,12:47:18
M,12:47:38
K/M,12:48:40
M,12:50:26
K,12:50:52
M,12:53:36
M,12:53:51
M,12:55:10
K/M,12:55:35
M,12:56:33
M,13:07:39
M,13:18:48
M,13:24:02
M,13:24:45
M,13:25:52
K/M,13:25:58
K,13:26:14
M,13:28:49
M,13:30:48
M,13:34:49
M,13:41:28
K/M,13:46:48
M,13:52:15
K/M,13:53:24
M,13:53:46
M,13:53:48
M,13:55:36
M,13:56:52
M,13:57:42
M,13:58:10
M,13:59:31
M,14:03:51
M,14:06:25
M,14:13:36
M,14:13:55
M,14:18:08
M,14:18:35
M,14:20:38
M,14:23:16
M,14:24:23
K/M,14:26:33
M,14:27:53
M,14:27:55
K/M,14:27:55
K/M,14:29:05
K/M,14:30:03
M,14:30:07
M,14:32:55
M,14:35:11
M,14:37:26
K/M,14:37:52
M,14:37:56
M,14:38:42
K/M,14:40:50
M,14:41:17
M,14:42:31
M,14:43:58
M,14:44:11
K/M,14:47:58
M,14:51:26
M,14:53:58
M,14:54:32
M,14:57:05
M,14:59:46
K,15:02:32
M,15:06:00
M,15:07:46
M,15:09:41
M,15:18:40
M,15:21:02
M,15:24:00
M,15:24:53
M,15:25:42
M,15:29:33
M,15:30:12
M,15:30:46
K/M,15:32:47
M,15:32:59
M,15:34:25
M,15:36:48
M,15:37:19
M,15:38:49
K/M,15:43:04
K/M,15:43:50
M,15:43:55
K/M,15:43:58
K/M,15:45:34
K/M,15:45:44
K,15:46:40
M,15:48:22
M,15:52:53
M,15:53:02
M,15:54:05
M,15:55:33
M,16:04:44
K/M,16:05:01
M,16:08:58
M,16:08:58
M,16:14:41
M,16:36:00
