MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
1,420,KONDYCJA,,02:39:00,M
2,409,12TRI.PL,,02:47:11,M
3,433,JOGGER NOWY DWÓR MAZOWIECKI,,02:47:12,M
4,259,AZAZEL,,02:48:34,M
5,315,KORONA MARATONÓW PKO BANKU POLSKIEGO,BANKÓW,02:48:43,M
6,280,POLSAT BIEGA 1,,02:49:34,M
7,545,FAURECIA TEAM,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,02:50:20,M
8,297,OBOZYBIEGOWE.PL - ŚCIGACZE,,02:50:49,M
9,147,DZIKIE DZIKI RASZYN,,02:53:23,M
10,618,AKM OLIMP OLSZTYN,,02:53:49,M
11,152,SENATORSKA16,BANKÓW,02:54:36,M
12,289,EDC RUNNERS I,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,02:55:00,M
13,609,ZABIEGANI CZĘSTOCHOWA,,02:55:04,M
14,119,PZU SPORT TEAM 1,FIRM UBEZPIECZENIOWYCH,02:55:10,M
15,562,SPEEDY RUNNERS,,02:55:23,M
16,497,"PUKS ""ROCH"" JASIENICA",,02:55:36,M
17,455,BIARKEM CLUB PIASECZNO,,02:56:57,M
18,544,GRANPOL SŁAWNO,,02:57:10,M
19,586,SOUDAL BIEGIEM PIONKI,,02:58:51,M
20,554,ADIDAS RUNNING TEAM 1,,02:59:31,M
21,604,COLLEGE OF EUROPE NATOLIN 1,,03:01:21,M
22,595,FAJNY KLUB PIASECZNO,,03:01:22,M
23,236,A JAK WYGRAMY? ,,03:02:04,M
24,286,ACCELERATE TEAM I,,03:02:10,M
25,422,WINCOR NIXDORF,BANKÓW,03:02:40,M
26,458,PWC RUNNING DREAM TEAM,,03:02:55,M
27,181,SQUADRA AZZURRA,,03:03:28,M
28,295, EDC RUNNERS OIL&GAS TEAM,,03:04:26,M
29,264,NOVO NORDISK 1,,03:04:47,M
30,326,SPARTANIE DZIECIOM 3,,03:04:55,M
31,173,NYHA IV SZCZECIN,,03:05:19,M
32,412,TKKF PŁOCK,,03:05:38,M
33,100,ACCREO ALL BLUES,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:06:04,M
34,128,BLOGACZE I,,03:06:20,M
35,298,INFOVIDE-MATRIX,,03:06:30,M
36,503,BOSSA.PL,,03:06:39,M
37,494,HIAB,,03:06:46,M
38,442,KLUB BIEGACZA ERGO,,03:06:59,M
39,598,FDNT RUNNING TEAM 1,,03:07:25,M
40,447,CENTRUM BIEGOWE ERGO,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:08:02,M
41,584,KS BEDNARSKA 1,,03:08:11,M
42,588,NORDEA OPERATIONS CENTRE (NOC) 1,BANKÓW,03:08:24,M
43,148,GTS 1,,03:08:41,M
44,578,AVIVA RUNNING TEAM 1,FIRM UBEZPIECZENIOWYCH,03:08:55,M
45,226,FAST FURIOUS,,03:09:15,M
46,487,WITC 1,,03:09:29,M
47,219,DELOITTE ADVENTURE TEAM 1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:09:29,M
48,421,KONDYCJA +,,03:10:08,M
49,461,PAREXEL I,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:11:36,M
50,246,RAIFFEISEN LEASING RUNNERS 1,BANKÓW,03:11:40,M
51,137,PARKER HANNIFIN RUNNERS,,03:12:13,M
52,253,SPARTANIE DZIECIOM 2,,03:12:23,M
53,183,WYDZIAŁ ELEKTRONIKI I TI PW – PRACOWNICY,,03:12:26,M
54,312,UTC TEAM 3,,03:12:28,M
55,499,"STOWARZYSZENIE ROZWOJU KULTURY FIZYCZNEJ I SPORTU ""POLPHARMA",MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:12:39,M
