Nr,imię nazwisko,imię nazwisko2,kat,kat-mce,team,czas_netto
614,Wiśniewski Kuba,Sobczyk Przemek,MM,1),Tatra Running Team,07:54:04
10,Gorczyca Bartosz,Szumiec Łukasz,MM,2),ALIVIO COSMETICS / ICEBUGrunning.pl,08:07:14
530,Dołęgowski Krzysztof,Leśniak Kamil,MM,3),inov-8 team,08:32:53
431,Sawicki Piotr,Pakuła Paweł,MM,4),Columbia / 9 DYWERSYJNA,08:44:46
130,Jagieła Dominik,Pawul Wojciech,MM,5),Rab Team Polska GOPR Bieszczady,08:53:43
171,Pociask Konrad,Kopyczok Michał,MM,6),RunningPerformance.pl,08:58:10
194,Brzoza Piotr,Banak Jacek,MM,7),EBS.KIELCE,09:06:23
323,Włodarkiewicz Dominik,Gacki Robert,MM,8),Parówy sojowe,09:13:21
359,Bielawa Rafał,Kaczorek Dominik,MM,9),NOVA GROUP TEAM,09:27:40
262,Brzeszkiewicz Michał,Dąbrowski Kamil,MM,10),Biegiem po Piwo 1,09:32:24
9,Żuk Marek,Jałocha Mieczysław,MM,11),Przemyski Klub Biegacza,09:36:15
619,Dybiżbański Wojciech,Myślak Piotr,MM,12),BUFF Run Expert Team 2,09:40:53
312,Łukaszuk Michał,Zdanowski Łukasz,MM,13),Adios Amigos,09:42:07
394,Walaszczyk Sławomir,Dziedzicki Andrzej,MM,14),Revelator Team,09:43:08
320,Kammer Krzysztof,Ignaczak Marcin,MM,15),Nizinne Pełzaki,09:46:28
1,Klich Kamil,Ciuraszkiewicz Konrad ,MM,16),ULTRASPIRE Polska / rehasportiva.pl,09:53:01
618,Sacewicz Marek,Łużyński Tomasz,MM,17),BUFF Run Expert Team 1,09:56:22
78,Podgórski Marcin,Maont Vincent,MM,18),Cepal Flying Brussels Team,09:57:05
145,Pawlas Lucjan,Kołder Tomasz,MM,19),PaKo Team Cieszyn,09:59:45
213,Bartosz Pardela,Lasocki Marcin,MM,20),Poparzeni izotonikiem,10:01:12
15,Sroka Wojciech,Korab Robert,MM,21),ULTRAMARATON PODKARPACKI TEAM I,10:05:44
57,Rosłoń Marcin,Kowalski-Barysznikow Mikołaj,MM,22),rossbieg.pl,10:06:01
483,Paszczak Artur,Pieprzycki Adam,MM,23),Niezły Ubaw,10:06:22
137,Madaj Zuzanna,Waszak Michał,MIX,1),JM TEAM,10:07:54
261,Ząbecki Przemysław,Ogły Krystian,MM,24),Po co tyle latać?,10:08:48
363,Małek Andrzej,Stańko Paweł,MM,25),GOPR Bieszczady 2,10:09:36
621,Ostrowska-Dołęgowska Magdalena,Frączek Justyna,KK,1),inov-8 team/ Magazyn Bieganie,10:10:56
66,Otrząsek Krzysztof,Dettlaff Mariusz,MM,26),Różowe kropki,10:12:07
512,Boguta Gaweł,Cieślawski Jan,MM,27),napieraj.pl,10:12:51
369,Turosz Iwona,Paszek Mateusz,MIX,2),GOPR Bieszczady biegajzmapa.com,10:13:14
19,Szczotka Paweł,Bułanow Leszek,MM,28),,10:13:51
303,Dupla Konrad,Raszewski Tomasz,MM,29),RaDu Run Team,10:15:05
53,Walaszczyk Wojciech,Błażowski Paweł,MM,30),ALIVIO COSMETICS - JSC Jasło,10:16:47
25,Gardener Jacek,Łęcka Agnieszka,MIX,3),Ambasada Maratonu Bieszczadzkiego,10:17:08
540,Nowak Michał,Białobrzeski Sebastian,MM,31),Smart Therapy team,10:18:26
329,Waldon Krzysztof,Baranowski Arkadiusz,MM,32),HRmax Żory / Multima Bielsko Team,10:20:46
339,Linek Michał,Rzepka Remigiusz,MM,33),CLEAREX 1,10:21:36
327,Urbański Robert,Bojka Piotr,MM,34),AZS Gdańsk wioślarze,10:26:52
566,Rowicki Robert,Glonek Marcin,MM,35),Przedstawiciele Władzy,10:28:36
35,Socha Maciej,Jastrząb Piotr,MM,36),SOFA KINGS,10:31:29
406,Łoziński Łukasz,Wołosewicz Daniel,MM,37),TT Szczecin/Wrocław Hardcore,10:32:27
113,Binowski Grzegorz,Januszczak Tomasz,MM,38),krasnale z doliny sanu,10:34:54
176,Roliński Wojciech,Frydrych Artur,MM,39),Bez nazwy,10:37:33
342,Korzeniowski Tomasz,Olek Marcin,MM,40),Yulo Run Team Siedlce I,10:39:36
403,Burzyński Miroslaw,Pudło Marcin,MM,41),AKSU POLSKA,10:40:11
476,Paszczak Alicja,Olek Paweł,MIX,4),Klub Wysokogórski Warszawa,10:40:45
617,Podleś Robert,Buśko Hubert,MM,42),COBI POLAND Team,10:41:04
583,Makowski Łukasz,Zapłata Wojciech,MM,43),ULUBIEŃCY KOBIET,10:41:35
361,Brzenczek Michał,Jackowski Piotr,MM,44),Telegrosik,10:41:37
20,Lewicki Tomasz,Kubieniec Grzegorz,MM,45),Imponderabilia 2014,10:42:32
302,Baćmaga Grzegorz,Lasota Grzegorz,MM,46),Ultra Team Radom,10:44:38
522,Łaba Dorota,Honkisz Julia,KK,2),UltrAspire,10:45:39
448,Kałużny Jakub,Mierniczek Łukasz,MM,47),Team Palestra,10:46:16
423,Miękus Hubert,Kobierski Piotr,MM,48),Piotrek i Hubi,10:48:58
2,Marszałek Sławomir,Łątkowski Maciej,MM,49),KB MANIAC ULTRA,10:49:25
16,Pruss Waldemar,Balawander Jakub,MM,50),Szczepankowo Team,10:49:45
490,Rykała Wojciech,Krzemień Paweł,MM,51),PiWo,10:50:55
180,Batory Stefan,"Jacek Latała, Dominik Jagiełło",MM,52),Ponaddźwiękowe Pierniki,10:54:07
581,Widłak Janusz,Grosse Paweł,MM,53),Praskie Dziki,10:54:32
236,Słociak Rafał,Linkowski Michał,MM,54),"Siostro, plaster!",10:55:01
227,Gruszka Darek,Markov Ilya,MM,55),Niepołomice Biegają!,10:56:50
21,Lisiecki Bartosz,Gątarz Marek,MM,56),Ps 23,10:57:12
553,Szopa Marek,Górski Jarosław,MM,57),ścigani.com.pl,11:00:37
36,Aleksander Nowak,Przybyła Marcin,MM,58),NUTREND TEAM,11:03:07
22,Deneka Jacek,Michalczyk Marek,MM,59),Biesy i Czady,11:04:40
238,Timofiejuk Paweł,Snarski Bogdan,MM,60),Piwożłopy,11:05:43
478,Oleksy Jarosław,Konopka Sławek,MM,61),KS LIMANOWA FORREST,11:06:46
629,Durmaj Bartłomiej,Baran Jarosław,MM,62),Lupara na Rzeźnika,11:07:07
136,Foryś Paweł,Król Marcin,MM,63),rzaba&królik,11:07:54
27,Reczek Sebastian,Ratowski Marek,MM,64),TK Ultras Hardcore,11:08:13
612,Węgrzyn Krzysztof,Komisarz Tomasz,MM,65),Zrywacze ROSY,11:08:36
86,Żurawski Tomasz,Łuczak Marcin,MM,66),DO PORZYGU,11:09:41
229,Gaicki Maciej,Płonka Piotr,MM,67),Na Pohybel,11:10:14
99,Łuczkiewicz Jarosław,Wajerowski Krzysztof,MM,68),TEAM O2,11:11:05
73,Słoma Paweł,Lepka Bartosz,MM,69),Słomiane Bambusy,11:13:27
325,Dzidowski Aleksander,Konrad Artur,MM,70),Biegaj Razem z Nami,11:14:36
519,Szczot Andrzej,Grablewski Grzegorz,MM,71),WKB Piast Wrocław PGB Sportowa Paczka,11:18:46
255,Bernacki Eugeniusz,Trzcieliński Roman,MM,72),PSY WARSZAWA,11:19:06
499,Cieśla Jarosław,Hałgas Paweł,MM,73),Wałbrzyszanie,11:20:36
3,Piotrowski Andrzej,Nyka Jan,MM,74),Skyrunning Ortoreh.pl Team,11:20:41
151,Kowalczyk Marcin,Menet Grzegorz,MM,75),misze lotne,11:21:35
6,Czado Waldemar,Dębicki Zdzisław,MM,76),GOPR Bieszczady,11:22:15
613,Pasuto Grzegorz,Majewski Piotr,MM,77),IRONS SF,11:22:55
616,Swędzioł Wojciech,Guzowski Jacek,MM,78),wij,11:24:01
98,Świerk Seweryn,Marczyk Tomasz,MM,79),EPO Janowice,11:24:59
187,Kuchno Lucyna,Wyrobek Łukasz,MIX,5),Lucky Luke,11:26:53
579,Szaniawski Grzegorz,Wrona Mateusz,MM,80),GSWM TEAM,11:26:55
247,Defeciński Radosław,Jaśkiewicz Piotr,MM,81),Lunatycy,11:26:58
101,Błędowski Jakub,Woder Olaf,MM,82),Truchtacz.pl 1,11:27:35
102,Pielecki Bartek,Sobiech Krystian,MM,83),KS Gepard Żukczyn,11:27:56
