team,miejscowosc,kraj,kat,czas_netto,"tempo min/km","tempo km/h"
BUFF TEAM POLSKA,,POL,M20,04:08:49.05,4:47,12.5
KRAKOW,,POL,M40,04:29:07.15,5:10,11.6
SALCO SPORT TEAM,,POL,M40,04:34:09.15,5:16,11.4
LUBARTÓW,,POL,M20,04:37:08.45,5:19,11.3
RADOMYŚL WIELKI,,POL,M30,04:51:23.90,5:36,10.7
GMP LASY,,POL,M30,04:53:03.40,5:38,10.6
VEGERUNNERS GRUDZIĄDZ,,POL,M30,04:53:00.30,5:38,10.6
ATTIQ FAKE RUNNERS NOWY TARG,,POL,M40,04:56:18.40,5:41,10.5
FINISZ RYMANÓW,,POL,M30,04:59:30.20,5:45,10.4
ATTIQ FAKE RUNNERS NOWY TARG,,POL,M30,04:59:38.70,5:45,10.4
KRAKÓW,,POL,M50,04:59:58.70,5:46,10.4
MSZANA DOLNA,,POL,M30,05:01:41.90,5:48,10.3
,,POL,K30,05:03:20.75,5:50,10.3
RTV EURO AGD,,POL,M40,05:06:11.55,5:53,10.2
TRIATHLON SERIES TEAM / TEMPO MŁAWA,,POL,M30,05:06:15.45,5:53,10.2
ALPHAWOOLF,,POL,M20,05:07:56.95,5:55,10.1
WARSZAWA,,POL,M20,05:10:52.35,5:58,10
CKBABCIE,,POL,M30,05:10:55.00,5:58,10
,,POL,M40,05:11:06.70,5:58,10
LUBARTÓW BIEGA,,POL,M30,05:11:29.50,5:59,10
JADOWNIKI,,POL,M30,05:11:54.35,5:59,10
,,POL,K20,05:12:11.80,6:00,10
BIEGUNKA TEAM,,POL,M30,05:14:18.75,6:02,9.9
KRAKÓW,,POL,M30,05:14:28.85,6:02,9.9
STRZYŻÓW,,POL,M40,05:16:09.45,6:04,9.9
BIEGAMYZSERCEM-BBL-BIEGATON MIKOŁÓW,,POL,M30,05:19:40.15,6:08,9.8
GRUPETTO GORLICE,,POL,M20,05:23:51.15,6:13,9.6
JASŁO,,POL,M30,05:24:30.85,6:14,9.6
LUBARTÓW,,POL,K40,05:25:55.40,6:16,9.6
LENIWCE.PL,,POL,M30,05:27:09.85,6:17,9.5
WANIEWSKI COACHING,,POL,M30,05:27:21.45,6:17,9.5
DREAM RUN,,POL,M20,05:27:59.30,6:18,9.5
ZAKOPANE,,POL,K20,05:28:37.60,6:19,9.5
RUDA ŚLĄSKA,,POL,M30,05:32:49.65,6:24,9.4
LUBIN,,POL,M40,05:34:09.80,6:25,9.3
K.B.GEOTERMIA UNIEJÓW,,POL,M30,05:34:28.35,6:25,9.3
KOLBUSZOWA,,POL,M30,05:35:10.20,6:26,9.3
SIŁA OGRA TRAIL TEAM,,POL,M30,05:35:14.55,6:26,9.3
PIZUNY ROZTOCZE WSCHODNIE,,POL,M40,05:35:33.00,6:27,9.3
NIGHT RUNNERS/TGV CLUB,,POL,M20,05:37:19.95,6:29,9.2
WARSZAWA,,POL,M30,05:38:34.25,6:30,9.2
BODY CLUB MŁAWA,,POL,M40,05:38:38.75,6:30,9.2
CZCICIELE BOBRZEJ NORY,,POL,M30,05:38:55.90,6:31,9.2
RADOMYŚL WIELKI,,POL,M30,05:39:42.50,6:31,9.2
WIERUNSZÓW,,POL,M30,05:40:07.65,6:32,9.2
MIELEC,,POL,M30,05:40:47.90,6:33,9.2
KWW,,POL,M40,05:40:50.25,6:33,9.2
TORUŃ,,POL,M20,05:41:08.20,6:33,9.1
RYBNIK,,POL,M50,05:41:57.80,6:34,9.1
VEGE RUNNERS,,POL,M30,05:42:10.80,6:34,9.1
LUBLIN,,POL,M30,05:42:00.10,6:34,9.1
POBITE GARY,,POL,M30,05:42:43.85,6:35,9.1
SPORT W WIELKIM MIEŚCIE,,POL,M30,05:43:30.00,6:36,9.1
LUBLIN,,POL,M30,05:44:46.60,6:37,9
WŁODAWA,,POL,M50,05:45:39.50,6:38,9
CHĘCINY,,POL,M30,05:45:44.25,6:38,9
WARSZAWA,,POL,M30,05:45:08.50,6:38,9
KATOWICE,,POL,M30,05:46:07.90,6:39,9
WEJHEROWO,,POL,M40,05:46:05.90,6:39,9
,,POL,M30,05:46:32.00,6:39,9
,,POL,M30,05:47:06.10,6:40,9
KROSNO,,POL,M50,05:47:14.10,6:40,9
AKM OLIMP OLSZTYN / SKLEPBIEGOWY.COM,,POL,M40,05:47:49.30,6:41,9
SPELEOKLUB ŚWIĘTOKRZYSKI KIELCE,,POL,M30,05:48:35.55,6:42,9
KRAKÓW,,POL,M30,05:48:46.10,6:42,8.9
GOPR BIESZCZADY/ZAPOROWY MARATON ORELEC,,POL,M30,05:49:23.15,6:43,8.9
ORTOREH TEAM,,POL,K30,05:49:53.75,6:43,8.9
BASTA TEAM ŁÓDŹ,,POL,M30,05:50:00.55,6:43,8.9
GNIEZNO,,POL,M20,05:50:41.10,6:44,8.9
NOWE IGANIE,,POL,M40,05:51:17.10,6:45,8.9
LUBLIN,,POL,M30,05:51:23.35,6:45,8.9
WOŁOMIN,,POL,M30,05:50:51.10,6:44,8.9
NAPIERAMY! SOPOT,,POL,M30,05:51:59.90,6:46,8.9
ADIDAS RUNNING TEAM POLAND,,POL,M30,05:52:39.85,6:46,8.8
,,POL,M30,05:53:31.85,6:47,8.8
LUBOŃ,,POL,M40,05:54:19.85,6:48,8.8
NOWY BEDOŃ/ŁÓDŹ RUNNING TEAM,,POL,M20,05:54:10.15,6:48,8.8
ŁÓDŹ RUNNING TEAM,,POL,M40,05:54:12.85,6:48,8.8
ALBATROSY,,POL,M30,05:54:50.75,6:49,8.8
SMASHING PĄPKINS,,POL,K30,05:54:54.00,6:49,8.8
IŁAWA,,POL,M30,05:54:46.75,6:49,8.8
PIEROŃSKIE HANYSY,,POL,M30,05:55:25.15,6:50,8.8
TKD SZAKAL JEŻYCE,,POL,M40,05:55:47.60,6:50,8.8
WARSZAWA,,GBR,M30,05:55:51.50,6:50,8.8
KATOWICE,,POL,M20,05:56:45.75,6:51,8.7
,,POL,M30,05:57:20.40,6:52,8.7
12TRI.PL DRUŻYNA WILKA / ASICS FRONTRUNNER,,POL,K20,05:58:02.90,6:53,8.7
"BIEGNĘ, ŻEBY BARTEK MÓGŁ BIEGAĆ",,POL,M30,05:58:06.95,6:53,8.7
JW 3939,,POL,M30,05:57:31.80,6:52,8.7
MIKI TEAM,,POL,M30,05:57:58.00,6:53,8.7
DEKAN LESKO,,POL,M40,05:58:33.20,6:53,8.7
KT WATER KNIGHTS ZABIERZÓW,,POL,M40,05:57:35.40,6:52,8.7
ALBATROSY,,POL,M30,05:58:51.95,6:54,8.7
,,POL,M30,05:59:22.60,6:54,8.7
RUNFORFUN RYGLICE,,POL,M20,05:59:56.85,6:55,8.7
JASŁO,,POL,M20,05:59:18.75,6:54,8.7
KT WATER KNIGHTS ZABIERZÓW,,POL,M30,05:59:22.80,6:54,8.7
RYKOWISKO,,POL,M40,06:00:24.15,6:55,8.7
NIGDY W ŻYCIU NIE BIEGNĘ HARDCORA...,,POL,M30,06:01:00.20,6:56,8.6
OLSZTYN,,POL,M30,06:01:27.55,6:57,8.6
WROCŁAW,,POL,M20,06:02:11.70,6:57,8.6
STALOWA WOLA,,POL,M40,06:01:49.90,6:57,8.6
PURDA,,POL,M30,06:02:46.10,6:58,8.6
BIESZCZADY,,POL,M40,06:02:58.25,6:58,8.6
KS LIMANOWA FORREST,,POL,M50,06:03:49.40,6:59,8.6
FOREVER YOUNG ŁÓDŹ,,POL,M50,06:04:26.80,7:00,8.6
WARSZAWA,,POL,M30,06:04:06.70,7:00,8.6
CSWP AUDIT&ADVISORY,,POL,M20,06:03:50.50,6:59,8.6
"BIEGNĘ, ŻEBY BARTEK MÓGŁ BIEGAĆ",,POL,M30,06:04:38.30,7:00,8.6
SKÓRZEC,,POL,M30,06:04:23.20,7:00,8.6
GAPMONT RUNNING TEAM,,POL,M30,06:04:35.60,7:00,8.6
KRAKÓW,,POL,M40,06:04:57.50,7:01,8.5
KRASNYSTAW BIEGA,,POL,M40,06:04:48.85,7:00,8.6
SPRINT GORZYCE,,POL,M30,06:05:20.45,7:01,8.5
,,POL,M30,06:05:29.90,7:01,8.5
PIASECZNO,,POL,M40,06:06:03.10,7:02,8.5
KWW,,POL,K40,06:06:11.30,7:02,8.5
SIŁA OGRA,,POL,M30,06:06:11.90,7:02,8.5
GÓRSKI PÓŁMARATON ŚLĘŻAŃSKI,,POL,M40,06:06:15.20,7:02,8.5
WWW.SMREKOWAOSADA.PL,,POL,M40,06:05:46.15,7:02,8.5
LUBLIN,,POL,M30,06:07:48.05,7:04,8.5
GRUPETTO GORLICE,,POL,M50,06:08:57.00,7:05,8.5
GCW CROSSFIT WARSZAWA,,POL,M30,06:08:44.70,7:05,8.5
GDANSK,,POL,M30,06:08:52.55,7:05,8.5
TRI PUŁAWY ,,POL,M30,06:08:39.45,7:05,8.5
SMASHING PĄPKINS,,POL,K30,06:09:03.45,7:05,8.5
VASCOTEAM WROCŁAW,,POL,M30,06:09:38.55,7:06,8.4
JSC JASŁO,,POL,M30,06:09:10.15,7:05,8.5
JACEKBIEGA RUNNING TEAM,,POL,M20,06:10:24.10,7:07,8.4
JACEKBIEGA RUNNINGTEAM,,POL,K30,06:10:24.20,7:07,8.4
,,POL,M50,06:10:25.25,7:07,8.4
RADOMYŚL WIELKI,,POL,M40,06:10:55.80,7:08,8.4
CTL LOGISTICS,,POL,M40,06:11:08.30,7:08,8.4
"GRUPA BIEGOWA CHTMO, LEGIONOWO",,POL,M30,06:12:13.75,7:09,8.4
RYKOWISKO,,POL,M30,06:12:29.20,7:09,8.4
JACEKBIEGA RUNNINGTEAM,,POL,M40,06:12:08.25,7:09,8.4
WARSZAWA,,POL,M30,06:11:59.60,7:09,8.4
,,POL,M30,06:12:42.00,7:10,8.4
JASIELSKIE STOWARZYSZENIE CYKLISTÓW,,POL,M30,06:12:46.45,7:10,8.4
FUNFLY,,POL,M30,06:12:51.80,7:10,8.4
ŁAPSCY LAJTOWCY,,POL,M30,06:13:25.60,7:10,8.4
NIGHT RUNNERS,,POL,M50,06:13:49.85,7:11,8.3
KRAKÓW,,POL,K30,06:15:00.50,7:12,8.3
KB IZBA CELNA PRZEMYŚL,,POL,M30,06:14:50.75,7:12,8.3
GDAŃSK,,POL,K20,06:14:38.90,7:12,8.3
BYTOM,,POL,M20,06:15:05.05,7:12,8.3
DĄBRÓWKA NOWA BIEGOWI ZAJAWKOWICZE,,POL,M40,06:15:21.45,7:13,8.3
ŁÓDŹ,,POL,M30,06:15:10.15,7:12,8.3
WARSZAWA,,POL,M30,06:15:43.95,7:13,8.3
GOMOLA TRANS AIRCO,,POL,M30,06:15:35.00,7:13,8.3
EXTREME TATRAS TEAM WARSZAWA,,POL,M30,06:16:14.70,7:14,8.3
WARSZAWA,,POL,M20,06:16:40.05,7:14,8.3
DĄBROWA GÓRNICZA,,POL,M20,06:16:33.50,7:14,8.3
GÓRA,,POL,M20,06:17:09.35,7:15,8.3
"BIEGNĘ, ŻEBY BARTEK MÓGŁ BIEGAĆ",,POL,M40,06:17:51.85,7:16,8.3
NIEMCE,,POL,M20,06:18:32.45,7:16,8.2
MONK SANDALS,,POL,M20,06:18:46.90,7:17,8.2
KABEL TEAM BYDGOSZCZ,,POL,M30,06:19:01.10,7:17,8.2
AKTYWNY DYNÓW,,POL,M20,06:19:09.00,7:17,8.2
RYBNICKA GRUPA BIEGOWA PĘDZIMY RAZEM,,POL,M20,06:19:45.10,7:18,8.2
SKÓRCZ,,POL,M40,06:20:04.75,7:18,8.2
KW WARSZAWA,,POL,M30,06:20:00.45,7:18,8.2
KRAKÓW,,POL,M30,06:20:34.40,7:19,8.2
BFAGENCJA.PL,,POL,K40,06:21:00.55,7:19,8.2
RYKOWISKO,,POL,M30,06:21:11.00,7:19,8.2
,,POL,M30,06:20:29.20,7:19,8.2
RYBNICKA GRUPA BIEGOWA PĘDZIMY RAZEM,,POL,M30,06:21:03.45,7:19,8.2
MIECHÓW,,POL,M50,06:22:20.10,7:21,8.2
BIŁGORAJ,,POL,M30,06:21:53.10,7:20,8.2
,,POL,M40,06:22:27.50,7:21,8.2
AQUAREH PWSTE JAROSŁAW,,POL,M30,06:22:58.70,7:21,8.1
LEGIONOWO,,POL,M30,06:23:26.30,7:22,8.1
WOŁOMIN,,POL,M40,06:22:35.20,7:21,8.2
CKBABCIE,,POL,M30,06:23:40.05,7:22,8.1
TRINERGY TEAM,,POL,M30,06:25:07.60,7:24,8.1
NIGHT RUNNERS +PLUS+,,POL,M30,06:24:45.60,7:23,8.1
KGW LESZNOWOLA,,POL,M40,06:25:16.45,7:24,8.1
BIEGAJĄCE MAŁŻEŃSTWO,,POL,K40,06:25:20.50,7:24,8.1
GRUDZIĄDZ / VISSCHER-CARAVELLE,,POL,M30,06:25:13.45,7:24,8.1
T-MOBILE RUNNING TEAM,,POL,M30,06:25:38.40,7:24,8.1
STJ KW KRAKÓW,,POL,M20,06:24:43.10,7:23,8.1
WARSZAWA,,POL,M30,06:25:54.45,7:25,8.1
WIRY,,POL,M40,06:25:56.70,7:25,8.1
DRUŻYNA SZPIKU,,POL,K30,06:25:34.00,7:24,8.1
INTEGRACYJNY KLUB SPORTOWY IKS SIEDLCE,,POL,M30,06:25:31.10,7:24,8.1
CKBABCIE,,POL,M30,06:26:21.50,7:25,8.1
TYCHY,,POL,M30,06:25:37.85,7:24,8.1
WARSZAWA,,POL,M30,06:26:22.15,7:25,8.1
SKĘPE,,POL,M20,06:28:02.95,7:27,8
JÓZEFÓW,,POL,M40,06:27:47.90,7:27,8
BIEGAMY Z OCHOTĄ,,POL,M50,06:28:41.10,7:28,8
BIEGAJĄCE MAŁŻEŃSTWO,,POL,M40,06:28:46.40,7:28,8
KKL/BBM KIELCE,,POL,K40,06:28:40.35,7:28,8
AKADEMIA BIEGANIA,,POL,M30,06:29:13.65,7:29,8
SWARZĘDZ,,POL,M40,06:29:02.15,7:28,8
12TRI.PL ,,POL,M30,06:29:24.65,7:29,8
KRZESZOWICE,,POL,K30,06:29:05.20,7:28,8
KT WATER KNIGHTS ZABIERZÓW,,POL,M30,06:28:30.70,7:28,8
SMASHING PĄPKINS,,POL,M30,06:28:48.05,7:28,8
KRZESZÓW,,POL,M20,06:29:56.90,7:29,8
RUGBY KLUB SANOK,,POL,M30,06:30:36.35,7:30,8
,,POL,K20,06:30:35.05,7:30,8
,,POL,K30,06:30:01.55,7:30,8
GNIEZNO,,POL,M20,06:29:58.05,7:29,8
NOKIA,,POL,M20,06:30:39.45,7:30,8
RYKI,,POL,M30,06:31:02.65,7:31,8
WARSZAWA,,POL,M30,06:30:30.90,7:30,8
JABŁONNA,,POL,M30,06:30:15.25,7:30,8
OSIEDLE NIEWIADÓW,,POL,M30,06:30:15.05,7:30,8
KB SOBÓTKA,,POL,M40,06:31:07.65,7:31,8
ŁOWCE,,POL,M30,06:30:57.25,7:31,8
GDAŃSK,,POL,M30,06:31:04.60,7:31,8
12TRI.PL,,POL,M30,06:32:03.65,7:32,8
,,POL,M30,06:32:01.65,7:32,8
LUBLIN,,POL,M40,06:32:07.40,7:32,8
WYTYCZNO,,POL,K30,06:32:15.95,7:32,8
CZASEM BIEGAM - KIELCE,,POL,M50,06:33:30.00,7:34,7.9
RADOM,,POL,K30,06:32:46.30,7:33,7.9
IADP,,POL,M40,06:32:51.50,7:33,7.9
LUBLIN,,POL,M30,06:33:24.35,7:33,7.9
LUBLIN,,POL,M30,06:33:28.65,7:34,7.9
,,POL,M20,06:33:06.25,7:33,7.9
JACEKBIEGA RUNNINGTEAM,,POL,M30,06:34:00.05,7:34,7.9
HOUSE OF SKILLS,,POL,M40,06:34:44.25,7:35,7.9
TRI NEGU-OUB-ARTNEO.PL,,POL,M30,06:34:44.55,7:35,7.9
NIGHT RUNNERS ŁÓDŹ,,POL,M20,06:34:22.50,7:35,7.9
JASŁO,,POL,M30,06:34:12.25,7:34,7.9
WARSZAWA,,POL,M30,06:34:06.85,7:34,7.9
RADWANICE,,POL,K30,06:35:24.95,7:36,7.9
TRUCHTACZ.PL,,POL,M30,06:36:37.10,7:37,7.9
RUNNERS TEAM KĘTRZYN,,POL,M40,06:37:11.25,7:38,7.9
GRÓJEC,,POL,M40,06:36:59.15,7:38,7.9
SPARTANIE DZIECIOM,,POL,M40,06:37:25.80,7:38,7.9
BIEGAM Z RADOŚCI,,POL,M40,06:37:32.35,7:38,7.8
WARSZAWA,,POL,M30,06:37:38.85,7:38,7.8
KS LIMANOWA FORREST,,POL,K20,06:37:29.30,7:38,7.8
SPOT PSZCZYNA,,POL,K20,06:38:02.15,7:39,7.8
JASŁO,,POL,K30,06:37:30.65,7:38,7.8
TOMASZÓW MAZOWIECKI,,POL,M40,06:38:03.60,7:39,7.8
RUNYOURLIFE.PL,,POL,M30,06:38:28.70,7:39,7.8
LESZNO,,POL,M20,06:37:52.65,7:39,7.8
WARSZAWA,,POL,M40,06:38:59.25,7:40,7.8
WARSZAWA,,POL,M30,06:39:43.85,7:41,7.8
,,POL,M30,06:39:43.75,7:41,7.8
INOWROCLAW,,POL,M30,06:41:06.80,7:42,7.8
WROCŁAW,,POL,M30,06:40:59.20,7:42,7.8
,,POL,M30,06:41:39.15,7:43,7.8
OLSZTYŃSKIE U STAWKI BIEGOWE,,POL,K30,06:41:39.45,7:43,7.8
WARSZAWA,,POL,M20,06:41:51.50,7:43,7.8
WODZISŁAW ŚLASKI,,POL,M40,06:43:02.10,7:45,7.7
EŁK,,POL,M40,06:42:56.95,7:44,7.7
KRAKÓW,,POL,M30,06:42:22.30,7:44,7.8
PWC RUNNING TEAM,,POL,M20,06:42:49.65,7:44,7.7
ARCADIS RUNNING TEAM,,POL,M30,06:43:29.20,7:45,7.7
RUDNIK NAD SANEM,,POL,M30,06:43:16.95,7:45,7.7
PGB POCZTOWA PACZKA,,POL,K30,06:43:11.20,7:45,7.7
NIGHT RUNNERS WARSZAWA,,POL,M40,06:44:13.25,7:46,7.7
STRAŻ GRANICZNA BIAŁYSTOK,,POL,M40,06:44:03.05,7:46,7.7
100HRMAX.PL,,POL,M30,06:44:44.60,7:47,7.7
TOMASZÓW MAZOWIECKI,,POL,K40,06:44:41.15,7:46,7.7
WEŁNICA BIEGA,,POL,M30,06:44:58.90,7:47,7.7
TYCHY,,POL,M30,06:45:54.55,7:48,7.7
DRUŻYNA SZPIKU,,POL,M30,06:45:44.60,7:48,7.7
KOBIERNICE,,POL,M40,06:46:14.10,7:48,7.7
KLUB BIEGAJĄCYCH LEŚNIKÓW,,POL,M40,06:46:38.10,7:49,7.7
KONDYCJA,,POL,M40,06:46:48.15,7:49,7.7
WARSZAWA,,POL,M30,06:47:16.15,7:49,7.7
LUBLIN,,POL,M40,06:47:29.35,7:50,7.7
UMKS NADIR JĘDRZEJÓW,,POL,M50,06:48:24.20,7:51,7.6
12TRI,,POL,M30,06:48:14.65,7:51,7.6
RYMANÓW ZDRÓJ,,POL,M30,06:48:16.95,7:51,7.6
BIEGAJZNAMI.PL,,POL,M30,06:48:05.50,7:50,7.6
JANÓW LUBELSKI,,POL,M30,06:48:05.40,7:50,7.6
,,POL,M30,06:48:38.30,7:51,7.6
WARSZAWA,,POL,M40,06:48:13.35,7:51,7.6
WARSZAWA,,POL,M30,06:48:00.05,7:50,7.6
RYSIE ŁÓDŹ,,POL,K30,06:48:42.90,7:51,7.6
SOSNOWIEC,,POL,M30,06:48:48.90,7:51,7.6
ORANGE POLSKA,,POL,M30,06:49:00.10,7:51,7.6
KONDYCJA,,POL,M50,06:49:28.50,7:52,7.6
MKB DREPTAK MIŃSK MAZOWIECKI,,POL,M20,06:48:54.90,7:51,7.6
JAROSŁAW,,POL,M20,06:49:12.85,7:52,7.6
SIEMIANOWICE ŚLĄSKIE,,POL,M30,06:49:28.45,7:52,7.6
