Pos,Name,kraj,czas_netto
1,"SRETR Radek [4195]
Enervit Yoko Team",,01:09:03
2,"ESCHER Toni [4001]
Sc Norweger 1896 Annaberg E.v.",Sehmatal-sehma,01:10:24
3,PETR Pavel [4002],Pardubice,01:12:07
4,MROZIŃSKI Jakub [4177],Jelenia Góra,01:12:50
5,MALKINSKI Krzysztof [4155],Sejny,01:13:15
6,"BUTRIMAVICIUS Marijus [4003]
``mohikanai``",Troki,01:14:51
7,"JANOWSKI Kacper [4196]
Uks Hubal Białystok",Krynki,01:15:09
8,"PIECH Aleksander [4004]
Piech Sport",Brójce,01:15:41
9,"GROßE Ralf [4005]
Psv Zittau",Jonsdorf,01:16:24
10,KOLAJA Jan [4187],Jablonec Nad Nisou,01:16:33
11,"GLEŃ Robert [4009]
Muks Podkarpacie Jedlicze",Jedlicze,01:16:36
12,ONDRASEK Marek [4563],Jablonec,01:17:10
13,GALIK Zbigniew [4007],Szklarska Poręba,01:17:39
14,"ŻAMOJTUK Daniel [4010]
Skipol.pl Team",Gołdap,01:17:45
15,"KUSTROŃ Bogdan [4191]
Krosski Brikomaplus",Krosno,01:18:11
16,"CLEMENZ Silvio [4011]
Psv Zittau",Kurort Jonsdorf,01:18:31
17,"FISNAR Jiri [4006]
Ski Klub Šumperk",Kouty N(d.,01:19:28
18,"SCERBAVICIUS Edvardas [4013]
Fortuna Ltu",Vilnius,01:19:48
19,"KORYCIŃSKI Rafał [4015]
Team Nabiegowkach.pl Cartusia Kartuzy",Gdańsk,01:19:54
20,"LEHNUNG Kai-uwe [4193]
Skiteam Pirna",Ottendorf,01:19:59
21,"HURYN Mikalai [4362]
Narciarz Grodno",Mogiljov,01:20:00
22,SOLA DE MIGUEL Pablo [4473],Uztarroz,01:20:16
23,"NARVYDAS Simonas [4017]
Sk ``mohikanai``",Elektr,01:20:57
24,ALA-KAPEE Hannu [4178],Tampere,01:21:01
Odśwież,,,
25,"HABRAT Piotr [4033]
Wyższa Szkoła Oficerska Wojsk Lądowych Im. Gen. Tadeusza Kościuszki We Wrocławiu",Krosno,01:21:18
26,"DZIADKOWIEC-MICHOŃ Mariusz [4000]
Bieg Piastow",Miłków,01:21:53
27,PASZKOWSKI Hubert [4028],Gołdap,01:22:01
28,SKALSKI Filip [4168],Sokołowsko,01:22:08
29,"MICHAŁKÓW Michał [4029]
Enervit Yoko Team",Szklarska Poręba,01:22:14
30,PIEKARZ Iwona [4296],Myślenice,01:22:14
31,"BRUDŁO Paweł [4046]
Gościniec Leśniczówka Jakuszyce",Warszawa,01:22:17
32,"HEINAMAKI Mikko [4176]
Madrog",Tampere,01:22:22
33,"CLEMENZ Peter [4031]
Psv Zittau",Kurort Jonsdorf,01:22:24
34,"HEDELIN Marlene [4185]
Stöcke Ts Järnet",UmeÅ,01:22:27
35,"LANGSTEINER Rudolf [4023]
Usc Atomic -st.leonhard",Dobersberg,01:22:38
36,"CHUDZIKIEWICZ Tomasz [4018]
Start Ski",Wojcieszów,01:22:42
37,"FISCHER Sven [4211]
Sv Hermsdorfe.",Leipzig,01:23:01
38,"TOKARCZYK Marek [4022]
Team Nabiegowkach.pl",Świdnica,01:23:05
39,"BURKOUSKI Andrei [4246]
Narciarz Grodno",Reczica,01:23:12
40,"MICHALIK Jarosław [4016]
Izer Nordic Sport Ts Regle Szklarska Poręba",Szklarska Poręba,01:23:15
41,VOLKER Abl [4559],Olbersdorf,01:23:17
42,"BLAHNA Petr [4014]
Ski Klub Jablonec Nad Nisou",Jablonec Nad Nisou,01:23:36
43,"SKOMOROWSKI Dominik [4042]
Łowcy Przygód Gołdap",Gołdap,01:23:38
44,BRYN Patryk [4554],Grambow,01:23:58
45,"ESCHER Hendrik [4037]
Sc Norweger 1896 Annaberg E.v.",Sehmatal-sehma,01:24:14
46,"MOSOŃ Wiktor [4054]
Muks Podkarpacie Jedlicze",Głowienka,01:24:18
47,"ŁYJAK Róża [4097]
Sms Karpacz",Szklarska Poręba,01:24:32
48,"MIROWSKI Bartosz [4019]
Wkb Meta Lubliniec",Lubliniec,01:24:35
49,"NOWICKI Andrzej [4148]
Uks Sokołowsko",Sokołowsko,01:24:40
Odśwież,,,
50,"HOFMANN Lars [4248]
Sv Hermsdorf",Dohna,01:24:54
51,"STARKOV Oleg [4231]
Sokolyata",Domodedovo Moscow Region,01:25:03
52,"ZELENKA Petr [4024]
Roprachtice",Semily,01:25:14
53,"BERES Róbert [4026]
Brasko Team",Bratislava,01:25:24
54,"HUBAL Paweł [4012]
Huballmountain",Jelenia Góra,01:25:26
55,MINDAUGAS Dinda [4147],Kaisiadorys,01:25:30
56,"SZCZOTKA Arkadiusz [4055]
Lks Spójnia Górki Wielkie",Górki Wielkie,01:25:43
57,"LELEK Miroslav [4008]
Skp Harrachov",Harrachov,01:25:51
58,"CABAŁA Adam [4038]
 gmina Ludzi Z Pasją",Czarny Bór,01:26:03
59,POTRZĄSAJ Rafał [4020],Ciche,01:26:16
60,"SZCZYGIEŁ Piotr [4215]
Krosski Brikomaplus",Korczyna,01:26:26
61,"MINNICH Philipp [4225]
Wsv Braunlage",Braunlage,01:26:29
62,"FLOREK Bartłomiej [4539]
 ",Czarny Bór,01:26:33
63,STANIK Bartłomiej [4096],Katowice,01:26:41
64,"WURSTHORN Rainer [4424]
Skiclub Villingen Schwarzwald",Villingen,01:27:05
65,"BERGER Rick [4213]
Sv Hermsdorf",Freital,01:27:10
66,"GROSSE Frank [4036]
Psv Zittau",Kurort Jonsdorf,01:27:26
67,"SADOWNIK Miroslaw [4035]
Poliamid Ski Team",Szczytna,01:27:29
68,"SCHIRRMEISTER Alexander [4224]
Skiklub Oker",Potsdam,01:27:44
69,MESSENGER Karen [4102],,01:27:53
70,"KÖRNING Anders [4181]
Stöcke Ts Järnet",UmeÅ,01:27:57
71,GORZOŁKA Stanisław [4235],Ustroń,01:28:10
72,JUSZKO Remigiusz [4044],Jelenia Góra,01:28:29
73,"FRANCZAK Bartosz [4027]
Nabiegowki.com",Jeżów Sudecki,01:28:29
74,"WAWRZYNIAK Bogusław [4050]
 zespół Szkół Technicznych Ostrów Wlkp.",Gorzyce Wielkie,01:28:30
Odśwież,,,
75,KOPROWSKI Edward [4209],Myslowice,01:28:35
76,"RADOMSKI Zbigniew [4045]
Tkkf Beskidek Bielsko-biała",Bielsko-biala,01:28:36
77,"KORZAN Marek [4113]
Ustrońska Szkoła Narciarstwa Biegowego",Jaworze,01:28:43
78,"KRYGIER Mariusz [4030]
Ipa Gołdap",Dubeninki,01:28:45
79,WERDA Stanisław [4053],Jelenia Góra,01:29:00
80,"PRUD Andrzej [4057]
Gdańsk",Gdansk,01:29:01
81,PALIŃSKI Piotr [4297],Szklarska Poręba,01:29:14
82,MULLER Gerold [4146],Spitzkunnersdorf,01:29:26
83,IGNACZAK Rafał [4227],Jelenia Góra,01:29:27
